Feature1,Feature2,Label
-0.9295284341980572,-9.86680911349293,0
-2.0645043313789206,-3.640056617084483,1
-3.718790551042214,-4.903394990138229,2
-1.3312136787987685,-9.305812464298937,0
-6.436535705963737,0.33670495865087674,3
-1.0179557703728013,-9.883335272298712,0
-0.8010773845127293,-9.971430917871755,0
-3.92818216234736,-4.353464524633711,2
-7.885738266635969,-0.12244686138148181,3
-1.6678216353606203,-4.087655677140472,1
-4.181013384993155,-5.188612192479005,2
-4.354821048618106,-4.24159363140215,2
-4.085802275586664,-4.5958718235949405,2
-1.6836076875039432,-3.525257255566012,1
-1.6993885264232258,-9.365176492440707,0
-6.97501597204582,0.6371923688702769,3
-3.9096358455208984,-4.695914186369971,2
-1.7356533248118322,-3.58217545271353,1
-1.3268105686607523,-9.783650811666721,0
-2.1117941126964723,-3.6901609142773224,1
-8.261945315963263,0.2266309672876065,3
-4.328996161506567,-4.286961157485616,2
-1.6170216720299118,-9.769150720585511,0
-3.5953422855641826,-4.974110546102886,2
-6.901244751915742,0.1387267090186884,3
-1.3859182270759496,-9.389568738750947,0
-6.837382529834226,-0.029339953883874004,3
-2.456517726098271,-3.354334766622337,1
-3.574504009489363,-5.047844816661279,2
-4.106171169603298,-4.943424471361071,2
-1.5893874613160688,-3.441748404209436,1
-4.106311947451752,-4.878401664486278,2
-1.2187983902454358,-9.693382247216334,0
-7.075518401430486,0.1254922475647759,3
-1.4986734716876335,-2.803237452882289,1
-7.414123562387214,0.4858857577798369,3
-6.776667192915352,-0.04143034432790699,3
-4.61616284162474,-5.5800040432899465,2
-1.2527853384646768,-9.268568394507062,0
-3.61594057230199,-5.250034643141003,2
-3.6411574920684178,-5.353354415910886,2
-1.2224806179806567,-9.502893297521059,0
-7.379123188246918,0.04025889384320275,3
-7.579565974862083,-0.1444458817176097,3
-7.624766810855279,0.7236443114231947,3
-7.32204448774765,0.7075936414590503,3
-1.095693920656271,-9.419418267355331,0
-1.4326366106303983,-2.82117613969835,1
-0.9455490011156031,-9.043390235633863,0
-3.8987296265745828,-4.395521592985325,2
-3.8187296585992083,-4.122000568921405,2
-3.7203549988329256,-4.705397171797856,2
-7.433739122978558,0.34062776181072807,3
-2.055259980746314,-3.358572868168366,1
-3.579541171966852,-4.754321954413504,2
-4.094609197341277,-4.532764819521561,2
-7.103682683392203,0.2576005147458682,3
-7.208904941723619,0.4205504824749873,3
-1.6899884141015793,-9.382324554679053,0
-0.9260649789671712,-3.7194261817408423,1
-7.1799097511816745,-0.13095023290732666,3
-7.612221626061928,-0.019689354583342866,3
-4.165306809516107,-4.74886987991394,2
-1.1632848318988558,-9.23376911275267,0
-4.001500703546175,-5.10535210775114,2
-3.854805003726879,-5.010204262952602,2
-6.830226680776782,0.389501947321667,3
-1.1811148855035947,-3.1410500115643694,1
-7.216262969360997,0.4008235607189393,3
-1.539188377933718,-2.900091457541449,1
-1.411345714511178,-9.551856856724333,0
-1.02436435874872,-9.077438991178232,0
-3.9217988081424604,-4.72989486996247,2
-1.336207806362664,-9.561376992680863,0
-1.1583509266911247,-9.550958649440535,0
-1.6949626277058172,-3.571580250963863,1
-3.6692248216696512,-4.439703451686169,2
-7.246682780470513,0.0799455701048134,3
-3.7360157178080313,-4.627411191131171,2
-7.701938675932854,0.2745344617117362,3
-2.0627105258793996,-3.5392059006796446,1
-1.626639415462995,-9.787595529862953,0
-1.372696420681274,-3.5770836105906274,1
-3.8530657510946984,-4.537273178261764,2
-3.932351851789617,-4.737344144685268,2
-7.495843332414647,-0.38456829084269406,3
-3.7294676455273525,-5.026706030425154,2
-7.139985339443528,0.8436545028633864,3
-7.787070642725608,0.35479197835740917,3
-0.9545747432604612,-3.0786411057782153,1
-7.817773165550059,-0.20446410096569217,3
-4.62901243047707,-4.749979970008578,2
-4.092437725208372,-4.297341188413487,2
-1.9347792946291524,-9.323237326396141,0
-4.070552459921349,-4.938417862540305,2
-1.2598692268905878,-2.9194318841628086,1
-1.476182455613227,-9.927376808882517,0
-7.377078824112864,0.5137255380547061,3
-4.347448195492753,-5.128853412765897,2
-1.5610964829968341,-9.531534297965253,0
-7.055145417275866,0.4220481861703719,3
-1.435048598136948,-3.370494021236337,1
-2.164709889518679,-3.1307848483094185,1
-3.54570688832079,-4.899176210596913,2
-1.0408702957905591,-9.556002403777782,0
-7.253629618797809,-0.4161928873406361,3
-2.045309128094434,-3.540000599359848,1
-1.5037860498479743,-3.4269196770830126,1
-7.5004549240132645,0.8149702931915668,3
-3.7738448240461513,-4.8517967640596416,2
-7.142062196408814,0.40113915252707016,3
-1.3798896038166644,-2.645963423595038,1
-1.698498237365604,-3.040714450389534,1
-1.7776324858531203,-3.3217226887395905,1
-6.751878261568538,0.38962193605128753,3
-3.660507461134297,-4.93316833231227,2
-3.6824497061455883,-4.937710757612475,2
-1.4529730271116863,-3.0913715589473534,1
-1.0285352148164728,-9.419341380831542,0
-7.299055281245508,0.09589948234049028,3
-7.161000835030737,0.3759689486132591,3
-1.8934237232428437,-10.194224576977362,0
-1.0018305339455424,-9.829344347391755,0
-3.7750768724438055,-4.835850896717681,2
-0.7632455512362007,-9.345281375892307,0
-1.275089082970355,-3.701367111064628,1
-0.588113985280837,-9.271058964435799,0
-7.1426179848603475,0.8577453486667216,3
-4.040745574242791,-4.436900058242385,2
-7.4348042617608705,0.16026776499186646,3
-0.9156951015463125,-3.160731636135386,1
-1.7293962576995994,-2.711304703815437,1
